Id;Name;energyCost;minrange;maxrange;Element;Shape;description
61;Sceller;0;0;0;7;Normal;-2 appel a l'adversaire
62;Terreur;10;0;0;7;Normal;Inflige 6 degats bruts a tous les ennemis
63;Drain des fluides;5;1;2;3;Normal;Inflige 13 degats magiques, consomme 1 maitrise tenebre de la cible : +1 maitrise eau et tenebre et +5 degats
64;Affutage;3;0;0;7;Normal;+5 attaque jusqu'a la fin de la partie
65;Crochet;0;1;6;4;Line;Attire la cible de 6 cases
66;Massacre;5;1;1;7;Normal;Inflige 14 degats physiques et gagne 1 maitrise tenebre et roche
67;Don de pouvoir;4;1;3;7;Normal;La cible gagne 6 energie et 4 attaque ce tour
68;Silence;2;1;3;7;Normal;Les ennemis en zone 1 perdent 5 energie au prochain tour
69;Appel spirituel;0;0;0;1;Normal;+2 appels
70;Gonflage;5;0;0;3;Normal;Se soigne de 6 et gagne 2 maitrises eau
71;Aspirer;3;1;2;6;Normal;Inflige 3 degats magiques et se soigne de 2
72;Crachat sous pression;3;1;2;3;Normal;Inflige 6 degats magiques et perds 3 pv
73;Crachat gluant;5;1;3;6;Normal;Les ennemis en zone 1 perdent 3 atk et 1 energie pendant 1 tour
74;Reservoir;0;0;0;6;Normal;Se soigne de 19
75;Absorber;5;1;1;6;Normal;Inflige 12 degats magiques et se soigne de 12
76;Bombe a eau;5;1;3;3;Normal;Inflige 17 degats magiques en zone 1 et perds 10 pv
77;Griffure;5;1;1;7;Normal;Inflige 5 degats physiques Cible isolee : +2 degats et la cible gagne 1 maitrise tenebre
78;Morsure;3;1;1;7;Normal;Inflige 4 degats physiques Consomme une maitrise tenebre de la cible : Se soigne de 3
79;Renifler;5;0;0;5;Normal;Gagne 1 maitrise air et 1 mobilite ce tour par ennemi avec une maitrise tenebre
80;Laceration;2;1;1;5;Normal;Inflige 3 degat physique, Consomme une maitrise air : -1 mobilite pendant 1 tour
81;Soif de sang;3;0;0;5;Normal;Gagne 2 maitrise air ainsi que 3 attaque et 1 mobilite jusqu'a la fin de la partie
82;Predateur;0;1;5;5;NoLOS Tile;Se teleporte sur la case ciblee
83;Hurlement;5;0;0;7;Normal;Inflige 9 degats physique aux ennemis en zone 1 et ils perent 3 atk et 3 energie pendant 1 tour
84;Sillage;3;1;2;3;Line Tile NoLOS;Se deplace en ligne et inflige 5 degats magiques aux ennemis traverses
85;Coup de tete;2;1;1;3;Normal;Inflige 3 degats magiques Consomme une maitrise eau : Pousse d'une case
86;Encorner;7;1;1;1;Normal;Inflige 6 degats magiques et echange de place avec la cible
87;Heurt;3;1;1;1;Normal;Inflige 4 degats magique Consomme une maitrise arcane : +2 degats
88;Ruee fulguante;7;1;4;3;Line Tile NoLOS;Se deplace en ligne, inflige 18 degats magiques aux ennemis traverses et soigne 18 pv aux allie traverses
89;Prise d'elan;0;0;0;3;Normal;+2 maitrise eau, +3 jauge eau et +1 mobilite ce tour
90;En un eclair;0;1;2;1;NoLOS Tile;Se teleporte sur la case ciblee et gagne 2 maitrise arcane
91;Frappe masquee;5;1;2;2;Normal;Inflige 7 degats physiques
92;Peur;3;1;2;2;Line;Inflige 3 degats physiques et pousse d'une case en ligne
93;Changement de visage;5;0;0;1;Normal;Echange l'armure et la barriere
94;Nouveau masque;2;0;0;1;Normal;Gagne 3 armure et 3 barriere Consomme une maitrise arcane : Applique l'effet aux allies en zone 1
95;Coup de theatre;0;1;2;1;Normal;Engage la cible
96;Duo;0;1;3;2;Normal;+3 energie ce tour a la cible et au lanceur
97;Scene;0;0;0;1;Normal;Capture tous les portails
